Дата и время,Скважина,Общая картина,Параметр по которому была отмечена аномалия,Комментарий
03.12.24 09:20 - 10.12.24 21:47,454,19.11.24 00:00 - 19.12.24 23:59,давление на приеме   рабочая частота                                    ток                         загрузка,??
12.12.24 15:28 - 12.12.24 19:34,40620,25.11.24 00:00 - 25.12.24 23:59,загрузка                          ток                          рабочая частота  давление на приеме,"Рост давления на приеме, загрузки, тока при симметричном повышении рабочей частоты"
28.11.2024  10:49 - 07.12.2024 19:20,40617,25.11.24 00:00 - 23.12.24 23:59,давление на приеме   рабочая частота                                    ток                         загрузка,Рост давления на приеме и падения загрузки при падении частоты
22.02.24 23:20 - 23.02.24 17:47,1963,11.02.24 00:00 - 31.03.24 23:59,давление на приеме   состояние скважины,при продолжительной остановке наблюдается рост давления на приеме
17.03.24 19:48 - 19.03.24 18:56,1963,11.02.24 00:00 - 31.03.24 23:59,давление на приеме   состояние скважины,при продолжительной остановке наблюдается рост давления на приеме
22.11.24 23:20 - 24.11.24 10:46,978,19.11.24 00:00 - 19.12.24 23:59,давление на приеме   состояние скважины,"период вывода на режим характеризуется резким снижением давления на приеме при запуске, после остановки"
25.11.24 15:13 - 26.11.24 10:06,978,19.11.24 00:00 - 19.12.24 23:59,давление на приеме   состояние скважины,"период вывода на режим характеризуется резким снижением давления на приеме при запуске, после остановки"
13.12.24 21:03 - 15.12.24 10:58,978,19.11.24 00:00 - 19.12.24 23:59,давление на приеме   состояние скважины,"период вывода на режим характеризуется резким снижением давления на приеме при запуске, после остановки"
28.11.24 04:35 - 28.11.24 05:38,1018,19.11.24 00:00 - 19.12.24 23:59,давление на приеме   состояние скважины,"незначительный рост давления, обусловленный более продолжительной остановкой "
2024-02-04 16:40:00,40737,01.02.24 00:00 -08.12.24 23:59,давление на приеме                 загрузка                        ток           ,"давление выше, чем было, скважина простояла дольше, чем обычно"
,1756,19.11.24 00:00 - 19.12.24 23:59,давление на приеме   рабочая частота ,"незначительные подклинки, на которые не обращаем внимание"
22.08.24 07:17 - 20.10.24 07:39,50069,01.05.24 00:00 - 01.12.24 23:59,давление на приеме   рабочая частота ,"скважина с ПИД-регулятором, поэтому такие флуктуации"
