anomaly_type,well_id,stop_reason,anomaly_start_time,well_stop_time,pressure_info,current_info,temperature_info,comment
Негермет,5271г,Негерметичность НКТ,2025-08-15 00:37:00,2025-08-15 01:36:00,↑↑ Давление на приеме,↓ Ток,↑↑ Температура масла ПЭД,
Негермет,1123л,Негерметичность НКТ,2025-06-21 08:32:00,2025-06-21 21:50:00,↑↑ Давление на приеме,↓↑ Ток,↑↑ Температура масла ПЭД,
Негермет,524,Негерметичность НКТ,2025-06-09 19:40:00,2025-06-10 13:35:00,↑↑ Давление на приеме,↑ Ток,↑ Температура масла ПЭД,
Негермет,1128г,Негерметичность НКТ,2025-03-16 17:47:00,2025-03-17 12:03:00,↑↑ Давление на приеме,↑ Ток,↑↑ Температура масла ПЭД,
Негермет,3509г,Негерметичность НКТ,2025-08-10 09:51:00,2025-08-10 18:54:00,↑↑ Давление на приеме,↓ Ток,= Температура масла ПЭД,
Негермет,4651,Негерметичность НКТ,2025-01-28 15:48:00,2025-01-29 12:35:00,↑↑ Давление на приеме,↑ Ток,= Температура масла ПЭД,
нормальная работа,3279,Нормальная работа при изменении частоты,2025-10-05 09:51:00,,,,,
нормальная работа,5110,Нормальная работа при изменении частоты,2025-10-04 13:37:00,,,,,
нормальная работа,1071,Нормальная работа при изменении частоты,2025-10-04 10:59:00,,,,,
нормальная работа,1071,Нормальная работа при изменении частоты,2025-10-05 10:29:00,,,,,
нормальная работа,1071,Нормальная работа при изменении частоты,2025-10-05 14:42:00,,,,,
нормальная работа,3410,Нормальная работа при изменении частоты,2025-10-06 14:34:00,,,,,
Приток,495,Уменьшение Рпл / Кпрод,2025-10-08 00:00:00,2025-10-17 20:50:54,↓  Давление на приеме,=Ток,= Температура масла ПЭД,
Приток,3261,Увеличение Рпл / Кпрод,2025-10-21 00:00:00,2025-11-15 01:49:06,↑ Давление на приеме,=Ток,= Температура масла ПЭД,
Приток,902,Уменьшение Рпл / Кпрод,2025-10-22 00:00:00,2025-11-15 01:59:32,↓  Давление на приеме,=Ток,= Температура масла ПЭД,
Приток,906,Уменьшение Рпл / Кпрод,2025-10-22 00:00:00,2025-11-16 01:53:43,↓  Давление на приеме,=Ток,= Температура масла ПЭД,
Приток,1772,Уменьшение Рпл / Кпрод,2025-10-22 00:00:00,2025-11-16 01:56:53,↓  Давление на приеме,=Ток,= Температура масла ПЭД,"Информация сразу по нисходящему тренду, поэтому пример для понимания того, с какой скоростью может происходить снижение параметра ""Давление на приеме"""
Приток,1120г,Уменьшение Рпл / Кпрод,2025-10-15 00:00:00,2025-11-15 01:56:51,↓  Давление на приеме,=Ток,= Температура масла ПЭД,"Информация сразу по нисходящему тренду, поэтому пример для понимания того, с какой скоростью может происходить снижение параметра ""Давление на приеме"""
